Region,Region Name,Building Code,Region,Building Name,Building Address 1,Building Address 2,City,State,Zip,County,Municipality,Country,Latitude,Longitude,Ownership,Building Status,Building Class,Primary Use,Employees,,Seating Capacity,Estimated GSF,
R12,TERRITORY 12 Philadelphia - Delaware - Southern NJ,J211,12,Woodbury,22 N Broad St,,Woodbury,NJ,08096-4603,Gloucester County,Woodbury City,United States of America,39.838536,-75.152679,Leased,Active,Retail,Bank Branch with Drive In,6,each,0,12150,square-feet
R12,TERRITORY 12 Philadelphia - Delaware - Southern NJ,F481,12,Wynnewood at Giant,50 E Wynnewood Rd,,Wynnewood,PA,19096-2000,Montgomery County,Lower Merion Township,United States of America,40.002286,-75.272967,Leased,Active,Retail,In-Store Branch,4,each,0,410.37,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,AWST,13,101 Wall Street ATM,101 Wall St,,New York,NY,10005,New York County,New York City,United States of America,,,Groundlease,Active,ATM,ATM,0,each,0,150,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J267,13,11 Penn Plaza,11 Penn Plaza,7th & West 31st Street,New York,NY,10001-2006,New York County,New York City,United States of America,40.749075,-73.99175,Leased,Active,Retail,Bank Branch,12,each,0,2620,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,NMLN,13,125 Maiden Ln - New York,125 Maiden Ln,,New York,NY,10038,New York County,New York City,United States of America,40.7067,-74.0063,Leased,Active,ATM,ATM,0,each,0,550,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,N110,13,Abington - Clarks Summit,207 S State St,,Clarks Summit,PA,18411-1546,Lackawanna County,Clarks Summit Borough,United States of America,41.494723,-75.703947,Groundlease,Active,Retail,Bank Branch,13,each,0,7500,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J439,13,Allwood Road - Clifton,415 Allwood Rd,,Clifton,NJ,07012-1704,Passaic County,City of Clifton,United States of America,40.839973,-74.156609,Groundlease,Active,Retail,Bank Branch with Drive In,11,each,0,3710,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,A54B,13,ATM - 54th & Broadway,1700 Broadway,,New York,NY,10019-5905,New York County,New York City,United States of America,,,Groundlease,Active,ATM,ATM,0,each,0,314,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,A65N,13,ATM - 65 Nassau Street,65 Nassau St,,New York,NY,10038-4513,New York County,New York,United States of America,,,Groundlease,Active,ATM,ATM,0,each,0,275,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,AT13,13,ATMs - NNJ/Eastern PA,none,,none,none,none,none,Unknown,,,,Leased,Active,ATM,ATM,0,each,0,0,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,N355,13,Avoca,650 Main St,,Avoca,PA,18641-1518,Luzerne County,Avoca Borough,United States of America,41.33695,-75.742454,Owned,Active,Retail,Bank Branch,6,each,0,9026.88,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,N425,13,Bath,202 N Walnut St,,Bath,PA,18014-1200,Northampton County,Bath Borough,United States of America,40.729508,-75.393407,Owned,Active,Retail,Bank Branch,6,each,0,2778,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J490,13,Bayonne Stop n Shop -853,1 Lefante Way,,Bayonne,NJ,07002-5070,Hudson County,City of Bayonne,United States of America,40.666567,-74.105051,Leased,Active,Retail,In-Store Branch,6,each,0,683.09,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J179,13,Bergenfield (aka Foster Village),370 S Washington Ave,,Bergenfield,NJ,07621-4312,Bergen County,BERGENFIELD BOROUGH,United States of America,40.915277,-73.997434,Owned,Active,Retail,Bank Branch,10,each,0,8392,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,N522,13,Berwick PA,101 E Front St,,Berwick,PA,18603-4817,Columbia County,BERWICK BORO,United States of America,41.054987,-76.233499,Owned,Active,Retail,Bank Branch,7,each,0,13534,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J002,13,Beverwyck,1142 Rte 46 W at Beverwyck Rd,,Parsippany,NJ,07054-2100,Morris County,PARSIPPANY-TROY HILLS TWP,United States of America,40.863245,-74.386834,Owned,Active,Retail,Bank Branch,9,each,0,3349.15,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,N524,13,Blackman Street,1000 Wilkes Barre Township Blvd,,Wilkes-Barre,PA,18702-6163,Luzerne County,Wilkes-Barre Township,United States of America,41.223255,-75.881804,Groundlease,Active,Retail,Bank Branch,5,each,0,2323,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,N520,13,Blakeslee,5670 ROUTE 115,P O Box 98,Blakeslee,PA,18610,Monroe County,Blakeslee Township,United States of America,41.059963,-75.55721,Leased,Active,Retail,Bank Branch,6,each,0,3468,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J056,13,Bloomfield Center,2 Broad St,,Bloomfield,NJ,07003-2547,Essex County,Township of Bloomfield,United States of America,40.79365,-74.197801,Leased,Active,Retail,Bank Branch,5,each,0,3429,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J488,13,Bloomfield Stop n Shop - 800,8 Franklin St,,Bloomfield,NJ,07003-5731,Essex County,Township of Bloomfield,United States of America,40.7836,-74.183486,Leased,Active,Retail,In-Store Branch,5,each,0,503.72,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,N510,13,Bloomsburg,50 W Main St,Main & Market Streets,Bloomsburg,PA,17815-1703,Columbia County,Bloomsburg Boro,United States of America,41.002636,-76.457407,Owned,Active,Retail,Bank Branch,7,each,0,9657,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J172,13,Brick Church,565 Main St,,East Orange,NJ,07018-2216,Essex County,City of East Orange,United States of America,40.767243,-74.219435,Leased,Active,Retail,Bank Branch,9,each,0,5231.78,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J251,13,Broad Street Clifton SnS,1185 Broad St,,Clifton,NJ,07013-3327,Passaic County,City of Clifton,United States of America,40.856092,-74.177247,Leased,Active,Retail,In-Store Branch,4,each,0,578.7,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J029,13,Budd Lake,100 Route 46,Suite 12,Budd Lake,NJ,07828-1706,Morris County,Mount Olive Township,United States of America,40.886294,-74.726531,Leased,Active,Retail,Bank Branch,5,each,0,1770,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J018,13,Byram,32 Route 206 North & Brookwood Rd,,Stanhope,NJ,07874-3286,Sussex County,Byram Township,United States of America,40.925852,-74.718525,Owned,Active,Retail,Bank Branch,7,each,0,2120,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,N115,13,Carbondale,47 S Main St,,Carbondale,PA,18407-2313,Lackawanna County,Carbondale City,United States of America,41.570968,-75.502736,Owned,Active,Retail,Bank Branch,4,each,0,4550,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J014,13,Carlstadt Stop n Shop 831,625 Paterson Ave,,Carlstadt,NJ,07072-1617,Bergen County,Borough of Carlstadt,United States of America,40.840865,-74.10145,Leased,Active,Retail,In-Store Branch,3,each,0,459.63,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,N255,13,Cedar Crest,1120 S Cedar Crest Blvd,,Allentown,PA,18103-7990,Allegheny County,City of Allentown,United States of America,40.572042,-75.519598,Leased,Active,Retail,Bank Branch,9,each,0,3948,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J065,13,Cedar Grove,570 Pompton Ave,,Cedar Grove,NJ,07009-1725,Essex County,Cedar Grove Township,United States of America,40.852849,-74.229774,Groundlease,Active,Retail,Bank Branch,8,each,0,6594,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,N130,13,Chinchilla,920 Northern Blvd,PO Box 444,South Abington Township,PA,18411-2236,Lackawanna County,South Abington Twp,United States of America,41.477337,-75.675955,Leased,Active,Retail,Bank Branch,3,each,0,1616,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J433,13,Clifton Main Mall,1184 Main Ave,,Clifton,NJ,07011-2258,Passaic County,City of Clifton,United States of America,40.876729,-74.140836,Leased,Active,Retail,Bank Branch,8,each,0,4120,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J085,13,Clifton NJ,955 Clifton Ave,,Clifton,NJ,07013-2709,Passaic County,City of Clifton,United States of America,40.864067,-74.162542,Owned,Active,Retail,Bank Branch,11,each,0,2635,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J096,13,Clifton Stop n Shop - 813,160A Kingsland Rd,,Clifton,NJ,07014-1915,Passaic County,City of Clifton,United States of America,40.826301,-74.140492,Leased,Active,Retail,In-Store Branch,5,each,0,527,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J408,13,Closter Plaza,49 Vervalen St,,Closter,NJ,07624-2699,Bergen County,Borough of Closter,United States of America,40.970015,-73.957467,Groundlease,Active,Retail,Bank Branch,9,each,0,4565,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J064,13,Community,424 Broad St,,Bloomfield,NJ,07003-2704,Essex County,Township of Bloomfield,United States of America,40.808041,-74.192458,Groundlease,Active,Retail,Bank Branch,10,each,0,4951,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,N508,13,Conyngham Valley,345 Main St,,Sugarloaf Township,PA,18249-3834,Luzerne County,Conyngham Borough,United States of America,40.993314,-76.059781,Owned,Active,Retail,Bank Branch,9,each,0,4024,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,JCBN,13,Corbin - New York City,200 Broadway,,New York,NY,10038-2542,New York County,Unknown,United States of America,,,Leased,Active,Retail,Bank Branch,1,each,0,1121,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J418,13,Court House,113 Main St,,Hackensack,NJ,07601-7103,Bergen County,City of Hackensack,United States of America,40.881776,-74.043862,Leased,Active,Retail,Bank Branch,7,each,0,3147.74,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J412,13,Cresskill,350 Madison Ave,,Cresskill,NJ,07626-1342,Bergen County,Borough of Cresskill,United States of America,40.941168,-73.977348,Leased,Active,Retail,Bank Branch,5,each,0,4818,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,N514,13,Dallas PA,2485 Memorial Highway,,Dallas,PA,18612-1152,Luzerne County,DALLAS BOROUGH,United States of America,41.332636,-75.955702,Owned,Active,Retail,Bank Branch,9,each,0,3475,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J464,13,Danforth Plaza,395 Danforth Ave,,Jersey City,NJ,07305-1975,Hudson County,City of Jersey City,United States of America,40.703293,-74.097303,Leased,Active,Retail,Bank Branch,8,each,0,3464,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J234,13,Dumont Stop n Shop #828,20 Washington Ave,,Dumont,NJ,07628-3615,Bergen County,Borough of Dumont,United States of America,40.936915,-73.994856,Leased,Active,Retail,In-Store Branch,4,each,0,518.38,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,N540,13,Dupont PA,281 Main St,,Dupont,PA,18641-2062,Luzerne County,DUPONT BOROUGH,United States of America,41.321591,-75.748455,Owned,Active,Retail,Bank Branch,7,each,0,2683,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,N528,13,Eagle Valley Mall,209 SKYLINE DRIVE,,East Stroudsburg,PA,18301-1315,Monroe County,STROUD TOWNSHIP,United States of America,41.019782,-75.17782,Owned,Active,Retail,Bank Branch,8,each,0,4539,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,N200,13,East Stroudsburg,60 Washington St,,East Stroudsburg,PA,18301-2817,Monroe County,East Stroudsburg Borough,United States of America,40.997149,-75.182427,Owned,Active,Retail,Bank Branch,9,each,0,21550,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,N605,13,Easton PA,61 N 3rd St,,Easton,PA,18042-3642,Northampton County,Easton City,United States of America,40.692607,-75.20907,Owned,Active,Retail,Bank Branch,9,each,0,3500,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J144,13,Elizabeth - 928 South Elmora Ave,928 South Elmora Ave,,Elizabeth,NJ,07202-3122,Union County,City of Elizabeth,United States of America,40.651082,-74.221665,Leased,Active,Retail,Bank Branch with Drive In,6,each,0,6542.5,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J217,13,Elizabeth Stop n Shop - 822,801 Newark Ave,,Elizabeth,NJ,07208-3514,Union County,City of Elizabeth,United States of America,40.681471,-74.208444,Leased,Active,Retail,In-Store Branch,5,each,0,549.34,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J422,13,Emerson - 422 Old Hook Rd,422 Old Hook Rd,,Emerson,NJ,07630-1324,Bergen County,Borough of Emerson,United States of America,40.981989,-74.005922,Groundlease,Active,Retail,Bank Branch with Drive In,8,each,0,3710,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J226,13,Emerson Stop n Shop 812,600 Kinderkamack Rd,,Emerson,NJ,07630-1138,Bergen County,Borough of Emerson,United States of America,40.98256,-74.024429,Leased,Active,Retail,In-Store Branch,4,each,0,641.92,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J401,13,Englewood,1 Engle St,,Englewood,NJ,07631-2940,Bergen County,City of Englewood,United States of America,40.892921,-73.972846,Leased,Active,Retail,Bank Branch,10,each,0,7000,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J129,13,Exchange Place - 15 Exchange Place,15 Exchange Place,,Jersey City,NJ,07302-3914,Hudson County,City of Jersey City,United States of America,40.71633115,-74.03383031,Leased,Active,Retail,Bank Branch,5,each,0,2581,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J071,13,Fairfield - Little Falls Road,49 Little Falls Rd,,Fairfield,NJ,07004-1912,Essex County,Township of Fairfield,United States of America,40.888688,-74.273753,Groundlease,Active,Retail,Bank Branch,11,each,0,5287,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J224,13,Flanders,293 Route 206,Flanders-Bartley Road Unit 20,Flanders,NJ,07836-9580,Morris County,Mount Olive Township,United States of America,40.831685,-74.708945,Groundlease,Active,Retail,Bank Branch with Drive In,4,each,0,3710,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,N606,13,Forks Township,401 Town Center Blvd,,Forks Township,PA,18040-8369,Northampton County,Forks Township,United States of America,40.711641,-75.221875,Leased,Active,Retail,Bank Branch,6,each,0,2000,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J421,13,Fort Lee,1564 Palisade Ave,,Fort Lee,NJ,07024-6900,Bergen County,Borough of Fort Lee,United States of America,40.847576,-73.969819,Groundlease,Active,Retail,Bank Branch,8,each,0,4409.22,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J159,13,Franklin Lakes at Stop and Shop,816 Franklin Ave,,Franklin Lakes,NJ,07417-1311,Bergen County,Borough of Franklin Lakes,United States of America,41.022991,-74.208499,Leased,Active,Retail,In-Store Branch,3,each,0,330,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,N561DI,13,Freeland Drive In,710 Front St,,Freeland,PA,18224-1441,Luzerne County,FREELAND BORO,United States of America,41.01831,-75.896571,Owned,Active,ATM,ATM,0,each,0,200,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,N410,13,Fullerton,1300 3rd St,,Whitehall,PA,18052-4837,Allegheny County,Whitehall Township,United States of America,40.642187,-75.473605,Owned,Active,Retail,Bank Branch,10,each,0,4032,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J456,13,Garfield,12 Outwater Ln,,Garfield,NJ,07026-3812,Bergen County,City of Garfield,United States of America,40.879987,-74.1187,Groundlease,Active,Retail,Bank Branch,10,each,0,11748,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J077,13,Glen Ridge,975 Bloomfield Ave,,Glen Ridge,NJ,07028-1301,Essex County,Glen Ridge Borough,United States of America,40.805408,-74.20819,Groundlease,Active,Retail,Bank Branch with Drive In,8,each,0,3366,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J420,13,Glenpointe,400 Frank W Burr Blvd,,Teaneck,NJ,07666-6839,Bergen County,Township of Teaneck,United States of America,40.873786,-74.006541,Leased,Active,Retail,Bank Branch,4,each,0,2613.91,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J487,13,Grove Street,319 Grove St,,Jersey City,NJ,07302-2940,Hudson County,City of Jersey City,United States of America,40.7194,-74.0431,Leased,Active,Retail,Bank Branch,5,each,0,2800,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J191,13,Hackensack Stop n Shop 817,380 W Pleasantview Ave,,Hackensack,NJ,07601-8005,Bergen County,City of Hackensack,United States of America,40.87579,-74.066345,Leased,Active,Retail,In-Store Branch,4,each,0,825.56,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,N105,13,Hanover Township,10 Stoke Park Rd,,Bethlehem,PA,18017-9414,Northampton County,Hanover Township,United States of America,40.66757,-75.386367,Groundlease,Active,Retail,Bank Branch with Drive In,9,each,0,3762,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,N505,13,Hanover Twp Crossroads,675 Carey Ave,,Wilkes-Barre,PA,18706-5489,Luzerne County,Hanover Township,United States of America,41.234318,-75.918888,Owned,Active,Retail,Bank Branch,10,each,0,4066,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,N537,13,Hawley,240 Main Ave,,Hawley,PA,18428-1328,Wayne County,Hawley Borough,United States of America,41.47672,-75.183743,Owned,Active,Retail,Bank Branch,5,each,0,11654,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J054,13,Haynes,550 Frelinghuysen Ave,,Newark,NJ,07114-1323,Essex County,City of Newark,United States of America,40.702389,-74.195272,Owned,Active,Retail,Bank Branch,5,each,0,5726,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,N305,13,Hazle Township,499 Susquehanna Blvd,aka Rt 93,Hazle Township,PA,18202-3222,Luzerne County,Hazel Township,United States of America,40.962978,-76.007797,Owned,Active,Retail,Bank Branch,5,each,0,2377,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,N558,13,Hazleton (Broad Street),200 W Broad St,,Hazleton,PA,18201-6278,Luzerne County,Hazleton City,United States of America,40.954791,-75.977214,Leased,Active,Retail,Bank Branch,9,each,0,8361,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,N559,13,Hazleton (Church Street),143 W 7th St,,Hazleton,PA,18201-4368,Luzerne County,Hazleton City,United States of America,40.96383,-75.975419,Owned,Active,Retail,Bank Branch,11,each,0,3504,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J453_PL,13,Hoboken - Parking Garage,215 Hudson St,2nd and Hudson St,Hoboken,NJ,07030-5802,Hudson County,City of Hoboken,United States of America,40.73852,-74.029429,Leased,Active,Parking,Parking Garage,0,each,0,1,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J453,13,Hoboken - Waterfront Corp Ctr,111 River St,,Hoboken,NJ,07030-5773,Hudson County,City of Hoboken,United States of America,40.737289,-74.028604,Leased,Active,Retail,Bank Branch,11,each,0,4097.61,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J052,13,Ironbound,185 Ferry St,,Newark,NJ,07105-2711,Essex County,City of Newark,United States of America,40.728527,-74.15699,Owned,Active,Retail,Bank Branch,8,each,0,6139,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J465,13,Journal Square,26 Journal Sq,,Jersey City,NJ,07306-4102,Hudson County,City of Jersey City,United States of America,40.731057,-74.064544,Leased,Active,Retail,Bank Branch,8,each,0,3572.94,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J757,13,Kearny,583 Kearny Ave,,Kearny,NJ,07032-2805,Hudson County,Town of Kearny,United States of America,40.771,-74.145166,Groundlease,Active,Retail,Bank Branch,11,each,0,10929,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,N503,13,Kingston,664 Wyoming Ave,,Kingston,PA,18704-3722,Luzerne County,KINGSTON BORO,United States of America,41.271608,-75.886683,Owned,Active,Retail,Bank Branch,10,each,0,6457,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J093,13,Kinnelon,1483 Route 23 South,,Kinnelon,NJ,07405-1626,Morris County,Kinnelon Borough,United States of America,41.021832,-74.40452,Leased,Active,Retail,Bank Branch,10,each,0,5031.25,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J485,13,Lakeview - Patterson,1152 Main Street @ Crooks Ave,,Paterson,NJ,07503-1321,Passaic County,City of Paterson,United States of America,40.889922,-74.154998,Groundlease,Active,Retail,Bank Branch,11,each,0,6252,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J411,13,Leonia,353 Broad Ave,,Leonia,NJ,07605-1721,Bergen County,Borough of Leonia,United States of America,40.862454,-73.987225,Leased,Active,Retail,Bank Branch,11,each,0,6200,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J068,13,Liberty - Newark,469 Central Ave,,Newark,NJ,07107-2023,Essex County,City of Newark,United States of America,40.748015,-74.192611,Owned,Active,Retail,Bank Branch,8,each,0,8471,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J434,13,Little Falls NJ,89 Main St @ Stevens Ave,,Little Falls,NJ,07424-1525,Passaic County,LITTLE FALLS TOWNSHIP,United States of America,40.881219,-74.228072,Owned,Active,Retail,Bank Branch,8,each,0,8665,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J457,13,Little Ferry,85 Washington Ave,,Little Ferry,NJ,07643-1908,Bergen County,Borough of Little Ferry,United States of America,40.847423,-74.036347,Owned,Active,Retail,Bank Branch,5,each,0,3409,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,N121,13,Lower Macungie,6458 Village Ln Route 100,,Macungie,PA,18062-8582,Lehigh County,Lower Macungie Township,United States of America,40.51838,-75.561969,Groundlease,Active,Retail,Bank Branch,8,each,0,4815,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,N106,13,Lower Nazareth Commons,3790 Dryland Way,,Easton,PA,18045-8351,Northampton County,Lower Nazareth Township,United States of America,40.7119,-75.324938,Leased,Active,Retail,Bank Branch with Drive In,10,each,0,3710,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J455,13,Lyndhurst,55 Park Ave,,Lyndhurst,NJ,07071-1011,Bergen County,Township of Lyndhurst,United States of America,40.820249,-74.122972,Owned,Active,Retail,Bank Branch,10,each,0,7605,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J489,13,Lyndhurst Stop n Shop - 819,425 Lewandowski St,,Lyndhurst,NJ,07071-2540,Bergen County,Township of Lyndhurst,United States of America,40.803746,-74.117266,Leased,Active,Retail,In-Store Branch,4,each,0,525.12,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,N430,13,Mahoning Valley,1279 Blakeslee Boulevard Dr E,,Lehighton,PA,18235-2404,Carbon County,Mahoning Township,United States of America,40.814915,-75.734696,Groundlease,Active,Retail,Bank Branch,8,each,0,4242,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J092,13,Mahwah,141 Franklin Tpke,,Mahwah,NJ,07430-1341,Bergen County,Township of Mahwah,United States of America,41.098429,-74.1465,Groundlease,Active,Retail,Bank Branch,8,each,0,5806,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,N275,13,Marshalls Creek,119 Municipal Dr,,East Stroudsburg,PA,18302-7426,Monroe County,Middle Smithfield Township,United States of America,41.081564,-75.116153,Leased,Active,Retail,Bank Branch,8,each,0,2172,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J219,13,Maxwell Place,1145 Maxwell Ln,,Hoboken,NJ,07030-6835,Hudson County,City of Hoboken,United States of America,40.7490076,-74.0243327,Leased,Active,Retail,Bank Branch,4,each,0,2069,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J174,13,Millburn,170 Essex St,,Millburn,NJ,07041-1601,Essex County,MILLBURN TOWNSHIP,United States of America,40.724804,-74.306731,Owned,Active,Retail,Bank Branch,10,each,0,3718,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,N340,13,Mocanaqua,132 Main St,,Mocanaqua,PA,18655-1514,Luzerne County,CONYNGHAM TOWNSHIP,United States of America,41.141604,-76.14087,Owned,Active,Retail,Bank Branch,4,each,0,1667,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J171,13,Montclair,57 Park St,Claremont Ave & Park Street,Montclair,NJ,07042-2903,Essex County,Township of Montclair,United States of America,40.81766,-74.216559,Owned,Active,Retail,Bank Branch with Drive In,3,each,0,3700,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J207,13,Montvale,36 S Kinderkamack Rd,,Montvale,NJ,07645-2135,Bergen County,Borough of Montvale,United States of America,41.038195,-74.0303,Owned,Active,Retail,Bank Branch with Drive In,7,each,0,3710,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J182,13,Morris Plains Stop n Shop - 893,245 Littleton Rd,,Morris Plains,NJ,07950-2921,Morris County,Borough of Morris Plains,United States of America,40.842687,-74.464413,Leased,Active,Retail,In-Store Branch,4,each,0,443.26,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J923,13,Mount Arlington,181 Howard Blvd,,Mt Arlington,NJ,07856-2314,Morris County,Borough of Mount Arlington,United States of America,40.911378,-74.636485,Leased,Active,Retail,Bank Branch,7,each,0,2800,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J157,13,Mount Olive,3 Naughright Rd,,Hackettstown,NJ,07840-5611,Warren County,Town of Hackettstown,United States of America,40.849297,-74.782628,Groundlease,Active,Retail,Bank Branch,7,each,0,3650,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,N210,13,Mount Pocono,1336 Pocono Blvd,,Mt Pocono,PA,18344-1418,Monroe County,Mount Pocono Borough,United States of America,41.126172,-75.359904,Owned,Active,Retail,Bank Branch,15,each,0,9928,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J478,13,Mountain Lakes,425 Boulevard,Route 46 & Boulevard,Mountain Lakes,NJ,07046-1723,Morris County,MOUNTAIN LAKES BOROUGH,United States of America,40.886457,-74.452354,Groundlease,Active,Retail,Bank Branch,8,each,0,8218,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,N506,13,Mountaintop,125 S Mountain Blvd,,Mountain Top,PA,18707-1921,Luzerne County,FAIRVIEW TOWNSHIP,United States of America,41.154951,-75.892138,Owned,Active,Retail,Bank Branch,10,each,0,3750,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,N543,13,Nanticoke PA,600 S Market St,,Nanticoke,PA,18634-2825,Luzerne County,NANTICOKE CITY,United States of America,41.19902,-76.001494,Owned,Active,Retail,Bank Branch,6,each,0,1872,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J447,13,North Haledon,563 High Mountain Rd,,North Haledon,NJ,07508-2605,Passaic County,Borough of North Haledon,United States of America,40.956965,-74.182057,Leased,Active,Retail,Bank Branch,7,each,0,3672,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,N400,13,Northampton,2102 Main St,,Northampton,PA,18067-1211,Northampton County,NORTHAMPTON BORO,United States of America,40.690776,-75.499598,Leased,Active,Retail,Bank Branch,8,each,0,9600,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J075,13,Northfield - West Orange,746 Northfield Ave,,West Orange,NJ,07052-1145,Essex County,Township of West Orange,United States of America,40.767961,-74.29512,Owned,Active,Retail,Bank Branch,10,each,0,5117,square-feet
R13,TERRITORY 13 Northern NJ - Eastern PA,J406,13,Northvale,150 Paris Ave,,Northvale,NJ,07647-2025,Bergen County,Borough of Northvale,United States of America,41.006419,-73.948884,Groundlease,Active,Retail,Bank Branch,7,each,0,4447,square-feet
